,Unnamed: 0,Page,2NE1_zh.wikipedia.org_all-access_spider,2PM_zh.wikipedia.org_all-access_spider,3C_zh.wikipedia.org_all-access_spider,4minute_zh.wikipedia.org_all-access_spider,52_Hz_I_Love_You_zh.wikipedia.org_all-access_spider,5566_zh.wikipedia.org_all-access_spider,91Days_zh.wikipedia.org_all-access_spider,A'N'D_zh.wikipedia.org_all-access_spider,AKB48_zh.wikipedia.org_all-access_spider,ASCII_zh.wikipedia.org_all-access_spider,ASTRO_zh.wikipedia.org_all-access_spider,Ahq_e-Sports_Club_zh.wikipedia.org_all-access_spider,All_your_base_are_belong_to_us_zh.wikipedia.org_all-access_spider,AlphaGo_zh.wikipedia.org_all-access_spider,Android_zh.wikipedia.org_all-access_spider,Angelababy_zh.wikipedia.org_all-access_spider,Apink_zh.wikipedia.org_all-access_spider,Apple_II_zh.wikipedia.org_all-access_spider,As_One_zh.wikipedia.org_all-access_spider,B-PROJECT_zh.wikipedia.org_all-access_spider,B1A4_zh.wikipedia.org_all-access_spider,BDSM_zh.wikipedia.org_all-access_spider,BEAST_zh.wikipedia.org_all-access_spider,BIGBANG_zh.wikipedia.org_all-access_spider,BLACK_PINK_zh.wikipedia.org_all-access_spider,BLEACH_zh.wikipedia.org_all-access_spider,BTOB_zh.wikipedia.org_all-access_spider,Beautiful_Mind_zh.wikipedia.org_all-access_spider,Beyond_zh.wikipedia.org_all-access_spider,Big_zh.wikipedia.org_all-access_spider,Block_B_zh.wikipedia.org_all-access_spider,CHAOS;CHILD_zh.wikipedia.org_all-access_spider,CHAOS;HEAD_zh.wikipedia.org_all-access_spider,CLC_zh.wikipedia.org_all-access_spider,CNBLUE_zh.wikipedia.org_all-access_spider,DIA_zh.wikipedia.org_all-access_spider,Daigo_zh.wikipedia.org_all-access_spider,Dear_My_Friends_zh.wikipedia.org_all-access_spider,Doctors_zh.wikipedia.org_all-access_spider,EGOIST_zh.wikipedia.org_all-access_spider,EXID_zh.wikipedia.org_all-access_spider,EXO_zh.wikipedia.org_all-access_spider,Energy_zh.wikipedia.org_all-access_spider,Eric_Nam_zh.wikipedia.org_all-access_spider,FAIRY_TAIL_zh.wikipedia.org_all-access_spider,FIESTAR_zh.wikipedia.org_all-access_spider,FIRST_CLASS_zh.wikipedia.org_all-access_spider,Facebook_zh.wikipedia.org_all-access_spider
0,0,2015-07-01,18.0,11.0,1.0,35.0,,12.0,,118.0,5.0,6.0,,2.0,2.0,,8.0,40.0,61.0,4.0,13.0,,22.0,25.0,19.0,23.0,,11.0,22.0,,291.0,3.0,10.0,2.0,1.0,4.0,26.0,13.0,1.0,,,1.0,40.0,35.0,16.0,7.0,8.0,9.0,20.0,65.0
1,1,2015-07-02,11.0,14.0,0.0,13.0,,7.0,,26.0,23.0,3.0,,1.0,5.0,,27.0,17.0,33.0,8.0,7.0,,11.0,3.0,6.0,24.0,,5.0,67.0,,64.0,53.0,9.0,0.0,10.0,4.0,30.0,29.0,2.0,,,4.0,9.0,6.0,7.0,5.0,6.0,4.0,9.0,42.0
2,2,2015-07-03,5.0,15.0,1.0,10.0,,4.0,,30.0,14.0,5.0,,4.0,5.0,,9.0,25.0,21.0,4.0,14.0,,23.0,3.0,12.0,31.0,,13.0,26.0,,26.0,11.0,5.0,1.0,17.0,5.0,22.0,7.0,3.0,,,3.0,10.0,41.0,3.0,11.0,10.0,3.0,5.0,30.0
3,3,2015-07-04,13.0,18.0,1.0,94.0,,5.0,,24.0,12.0,12.0,,4.0,1.0,,25.0,42.0,10.0,9.0,11.0,,10.0,4.0,14.0,9.0,,8.0,34.0,,20.0,3.0,4.0,5.0,10.0,52.0,27.0,1.0,2.0,,,5.0,6.0,35.0,3.0,2.0,22.0,7.0,10.0,36.0
4,4,2015-07-05,14.0,11.0,0.0,4.0,,20.0,,29.0,9.0,6.0,,2.0,3.0,,25.0,41.0,26.0,7.0,20.0,,6.0,12.0,13.0,21.0,,6.0,38.0,,28.0,4.0,15.0,5.0,4.0,2.0,27.0,2.0,4.0,,,3.0,28.0,31.0,3.0,7.0,11.0,4.0,7.0,41.0
5,5,2015-07-06,9.0,13.0,4.0,26.0,,8.0,,127.0,9.0,5.0,1.0,6.0,3.0,,10.0,7.0,11.0,4.0,5.0,,12.0,14.0,7.0,27.0,,5.0,13.0,,6.0,3.0,3.0,5.0,2.0,12.0,19.0,34.0,1.0,,,3.0,41.0,15.0,5.0,3.0,5.0,2.0,2.0,22.0
6,6,2015-07-07,9.0,22.0,0.0,14.0,,5.0,,53.0,35.0,4.0,1.0,3.0,5.0,,34.0,18.0,39.0,15.0,32.0,,74.0,16.0,12.0,15.0,,8.0,17.0,,20.0,11.0,5.0,2.0,5.0,2.0,34.0,6.0,6.0,,,0.0,80.0,36.0,5.0,2.0,32.0,7.0,8.0,38.0
7,7,2015-07-08,22.0,11.0,3.0,9.0,,17.0,,37.0,15.0,13.0,,6.0,3.0,,22.0,21.0,195.0,9.0,11.0,,17.0,15.0,64.0,8.0,,5.0,33.0,,10.0,9.0,8.0,2.0,26.0,7.0,37.0,97.0,3.0,,,5.0,44.0,22.0,4.0,6.0,23.0,7.0,4.0,30.0
8,8,2015-07-09,26.0,10.0,4.0,11.0,,24.0,,20.0,14.0,9.0,,9.0,17.0,,17.0,33.0,62.0,17.0,6.0,,38.0,22.0,9.0,50.0,,12.0,43.0,,48.0,5.0,5.0,3.0,25.0,5.0,24.0,7.0,5.0,,,3.0,40.0,13.0,3.0,9.0,16.0,5.0,9.0,71.0
9,9,2015-07-10,24.0,4.0,4.0,16.0,,7.0,,32.0,22.0,15.0,,11.0,3.0,,45.0,15.0,18.0,16.0,4.0,,23.0,23.0,31.0,78.0,,3.0,32.0,,17.0,16.0,4.0,3.0,15.0,7.0,50.0,2.0,4.0,,,1.0,108.0,89.0,4.0,10.0,18.0,9.0,8.0,80.0
